aadamu	萨达姆
aenrou	温柔
aenshen	文身
aenshi	问世
aenshu	文书
aenta	问他,问她
aenti	问题,文体
aentishi	问题是
aenwen	问问
aenwo	问我
aenwu	文物
aenxian	文献
aenxin	温馨
aenxue	文学
aenyang	怎样
aenyi	文艺
aenyiju	问一句
aenyuan	文员
aenzhang	文章
aenzhou	温州
aenzhoushi	温州市
aenzi	文字
aeqing	色情
aeren	责任
aerengan	责任感
aerenren	责任人
aerenxin	责任心
aerenzhi	责任制
aeshi	则是
aesu	色素
aet	阿尔
aewei	则为
aeyi	则以
aeying	则应
aeyou	则有
aezai	则在
aeze	色泽
afenting	阿根廷
afr	阿尔
ag	按,安,暗,案,岸
agding	安定
agdnting	阿根廷
agebting	阿根廷
agegting	阿根廷
agehting	阿根廷
agejting	阿根廷
agemting	阿根廷
agenfing	阿根廷
agenging	阿根廷
agenhing	阿根廷
agenring	阿根廷
agentibg	阿根廷
agentigg	阿根廷
agentihg	阿根廷
agentijg	阿根廷
agentimg	阿根廷
agentinb	阿根廷
agentinf	阿根廷
agentinh	阿根廷
agentinn	阿根廷
agentinr	阿根廷
agentint	阿根廷
agentinv	阿根廷
agentiny	阿根廷
agentjng	阿根廷
agentkng	阿根廷
agentlng	阿根廷
agentong	阿根廷
agentung	阿根廷
agenying	阿根廷
agfnting	阿根廷
agg	昂
agggui	昂贵
agguiding	按规定
aghui	安徽
aghuisheng	安徽省
agi	阿姨
agjian	按键,案件
agjie	按揭
agjing	安静
agjisuan	氨基酸
agli	案例,安利
agmo	按摩
agning	安宁
agniu	按钮
agpai	安排
agquan	安全
agquande	安全的
agquangan	安全感
agquanxing	安全性
agrnting	阿根廷
agshi	按时,暗示
agsnting	阿根廷
agwei	安慰
agwnting	阿根廷
agxia	按下
agxin	安心
agzhao	按照
agzhi	安置
agzhong	暗中
agzhu	按住
agzhuang	安装
agzhuangle	安装了
agzhuangzai	安装在
ah	按,安,暗,案,岸
ahache	刹车
ahadan	炸弹
ahadu	杀毒
ahafa	沙发
ahafashang	沙发上
ahagua	傻瓜
ahai	晒,筛
ahaiquan	债券,债权
ahaiquanren	债权人
ahaiwu	债务
ahaiwuren	债务人
ahaixuan	筛选
ahaiyao	摘要
ahaizi	摘自
ahajun	杀菌
ahala	沙拉
ahalong	沙龙
ahamo	沙漠
ahan	山,删,站,战,展,闪
ahanchang	擅长,战场
ahancheng	站成
ahanchu	删除,展出
ahandao	占到
ahande	站的,山的
ahandi	占地,山地
ahandian	站点,闪电
ahanding	山顶
ahandong	山东,煽动
ahandou	战斗
ahandouji	战斗机
ahandouli	战斗力
ahandui	战队
ahanfang	绽放
ahanfeng	山峰
ahang	上,长,张,伤,章,商
ahangai	障碍
ahangban	上班
ahangbannian	上半年
ahangbao	上报
ahangbiao	商标
ahangcan	伤残
ahangceng	上层
ahangchang	商场
ahangche	上车
ahangcheng	章程,商城
ahangchuan	上传
ahangci	上次
ahangda	长大
ahangde	上的,长得
ahangdekuai	长得快
ahangdi	上帝
ahangdian	商店
ahangdiao	上调
ahangdiaole	上吊了
ahangfang	上方
ahangfu	丈夫,涨幅
ahanggan	伤感
ahanggang	上岗
ahanghai	上海,伤害
ahanghaide	上海的
ahanghaishi	上海市
ahanghao	账号
ahanghu	账户,商户
ahangji	上级,商机
ahangjia	商家,上架,涨价
ahangjiajie	张家界
ahangjiang	上将
ahangjie	章节
ahangkai	张开
ahangkan	上看
ahangke	上课
ahangkong	上空,掌控
ahangkou	伤口
ahanglai	上来
ahanglao	长老
ahangli	张力
ahangliang	商量
ahanglu	上路
ahangmao	商贸
ahangmen	上门
ahangmian	上面
ahangmou	张某
ahangnian	上年
ahangpeng	帐篷
ahangpin	商品
ahangpinfang	商品房
ahangpu	商铺
ahangqian	上前
ahangqu	上去
ahangquan	商圈
ahangren	商人
ahangshan	上山
ahangsheng	上升,掌声
ahangshi	上市,赏识,伤势
ahangshiji	上世纪
ahangshu	上述
ahangsi	上司
ahangtian	上天
ahangtiao	上调
ahangtie	张贴
ahangu	山谷
ahanguan	展馆
ahanguang	闪光
ahangwang	上网
ahangwei	尚未
ahangwo	掌握
ahangwole	掌握了
ahangwu	上午,商务,尚无
ahangwubu	商务部
ahangwuwang	商务网
ahangxia	上下
ahangxian	上线,上限,彰显
ahangxiang	长相
ahangxin	伤心,涨薪
ahangxing	上行
ahangxue	上学
ahangxueyuan	商学院
ahangyan	上演
ahangyang	张扬,上扬
ahangye	商业
ahangyi	上衣
ahangyige	上一个
ahangyiji	上一集,上一级
ahangyimou	张艺谋
ahangying	上映
ahangyipian	上一篇
ahangyiye	上一页
ahangyong	商用
ahangyou	上有,上游,尚有
ahangzhang	上涨
ahangzhangde	上涨的
ahangzhou	上周
ahanhui	展会
ahanju	占据
ahanjule	占据了
ahankai	展开
ahankaile	展开了
ahanlan	展览
ahanlanhui	展览会
ahanle	占了,站了
ahanli	站立
ahanliang	善良
ahanlin	山林
ahanling	占领
ahanlu	山路
ahanlve	战略
ahannei	站内
ahanpin	展品
ahanqilai	站起来
ahanqu	山区,展区
ahanquanguo	占全国
ahanshang	山上
ahansheng	战胜
ahanshi	展示,战士,战时
ahanshile	展示了
ahanshu	战术
ahanshui	山水
ahanshuo	闪烁
ahantie	粘贴
ahanting	展厅
ahanwang	展望
ahanwei	展位
ahanxi	山西,陕西
ahanxia	山下
ahanxian	展现
ahanxinde	崭新的
ahanxisheng	山西省,陕西省
ahanyao	山药
ahanyi	战役,善意
ahanyong	占用
ahanyou	占有,战友
ahanyu	善于
ahanzai	站在
ahanzhang	站长
ahanzhe	站着
ahanzheng	战争
ahanzhuang	山庄
ahanzi	擅自
ahaobiao	招标
ahaobudao	找不到
ahaochu	找出
ahaodai	招待
ahaodao	找到
ahaodaole	找到了
ahaode	少的
ahaoer	少儿
ahaoge	找个
ahaogongzuo	找工作
ahaogu	照顾
ahaohu	招呼
ahaohuan	召唤
ahaohui	找回
ahaoji	着急
ahaojian	少见
ahaokai	召开
ahaokaile	召开了
ahaokao	烧烤,招考
ahaole	少了,找了
ahaoliang	少量
ahaoming	照明
ahaomu	招募
ahaonian	少年
ahaonv	少女
ahaopai	招牌
ahaopian	照片
ahaopin	招聘
ahaopinhui	招聘会
ahaoren	少人
ahaoshang	招商
ahaoshao	稍稍
ahaosheng	招生
ahaoshou	招收
ahaoshu	少数
ahaotoubiao	招投标
ahaowei	稍微
ahaowo	找我
ahaoxiandui	少先队
ahaoxiang	照相
ahaoxiangji	照相机
ahaoxing	绍兴
ahaoxu	少许
ahaoyang	朝阳,照样
ahaoye	少爷
ahaoyige	找一个
ahaoyou	少有,稍有
ahaoyu	少于
ahaozu	招租
ahaozuo	少做
ahapian	诈骗
aharen	杀人
ahashade	傻傻地
ahashi	扎实
ahashou	杀手
ahasi	杀死
ahatan	沙滩
ahding	安定
ahean	涉案
aheban	这般
ahebao	社保
ahebei	设备
aheben	这本
ahebenshu	这本书
ahebi	这比
ahebian	这边
ahebu	这不
ahebude	舍不得
ahebufen	这部分
ahebushi	这不是
ahecai	这才
ahecaishi	这才是
ahechang	这场
aheci	这次
ahede	这的
ahedian	这点
ahedie	折叠
aheding	设定
aheduan	这段
ahedui	这对
aheduiyu	这对于
aheer	这儿
ahefa	设法
ahefangmian	这方面
ahefen	这份
ahege	这个
ahegeren	这个人
ahehai	这还
ahehua	这话
ahehui	这回
ahehuihua	社会化
ahehuishang	社会上
ahehuixue	社会学
ahehuizhong	社会中
ahei	这,谁
aheide	谁的
aheidou	谁都
aheilai	谁来
aheineng	谁能
aheishi	谁是
aheiye	谁也
aheizhi	谁知
aheji	设计,涉及,射击
ahejia	这家
ahejian	这件
ahejiang	浙江,这将
ahejianshi	这件事
ahejiao	社交
ahejidao	涉及到
ahejide	设计的,设计得,涉及的
ahejige	这几个
ahejing	射精
ahejinian	这几年
ahejishi	设计师
ahejitian	这几天
ahejiu	这就,折旧
ahejiuqu	这就去
ahejiushi	这就是
ahejiyuan	设计院
ahejizhe	设计者
aheju	这句
ahejuhua	这句话
aheke	这可
ahekou	折扣
ahekuai	这块
ahekuan	这款
ahelei	这类
aheli	这里,设立
aheliangge	这两个
ahelile	设立了
ahelishi	这里是
aheliyou	这里有
aheme	这么
ahemeduo	这么多
ahemeshuo	这么说
ahemezuo	这么做
aheming	这名
ahemo	折磨
ahen	神,深,真,阵,身,甚
ahenai	真爱
ahenba	真把
ahenban	申办
ahenbao	申报
ahenbian	身边
ahencai	身材
ahencang	珍藏
ahenceng	深层
ahencha	审查,侦察
ahenchen	深沉
ahencheng	真诚
ahenchengde	真诚的
ahenchu	伸出,深处,身处
ahenchuan	身穿
ahende	真的,神的
ahendehen	真的很
ahendeshi	真的是
ahending	审定
ahendong	震动
ahendu	深度
ahenduan	诊断
ahendui	针对
ahenduixing	针对性
ahenfen	身份
ahenfenzheng	身份证
aheng	生,声,正,整,政,争
ahengao	身高
ahengban	正版
ahengbing	生病
ahengce	政策
ahengcexing	政策性
ahengchan	生产
ahengchang	正常
ahengchanli	生产力
ahengchanzhe	生产者
ahengchao	争吵
ahengche	整车
ahengcheng	生成,声称
ahengchu	生出
ahengchuyu	正处于
ahengcun	生存
ahengda	盛大
ahengdan	圣诞
ahengdang	正当,政党
ahengdanjie	圣诞节
ahengdao	声道
ahengde	生的,正的,省的,征得
ahengdi	征地
ahengdong	生动
ahengdun	整顿
ahengduo	争夺
ahengfa	蒸发
ahengfen	省份
ahengfu	政府,征服
ahenggai	整改
ahenggao	升高
ahengge	整个
ahenggui	正规
ahenghao	正好
ahenghe	整合
ahenghua	生化,升华
ahenghui	盛会,省会
ahenghuo	生活
ahenghuofei	生活费
ahengji	升级,征集,整机,生机,政绩
ahengjian	证件
ahengjiang	生姜
ahengjianhui	证监会
ahengjidao	升级到
ahengjie	整洁
ahengjing	圣经
ahengjiu	拯救
ahengju	证据
ahengka	声卡
ahengle	生了
ahengli	整理,胜利,生理
ahenglun	争论
ahengmian	正面
ahengming	生命,证明,声明
ahengmingle	证明了
ahengmingli	生命力
ahengnei	省内
ahengou	申购
ahengpin	正品
ahengqi	生气,整齐,蒸气,蒸汽,升起
ahengqian	挣钱,生前,省钱
ahengqiu	征求
ahengqu	争取,政区
ahengquan	证券,政权
ahengquanfa	证券法
ahengque	正确
ahengquede	正确的
ahengren	圣人,胜任,证人
ahengri	生日
ahengru	正如
ahengshi	正式,正是,证实,省市
ahengshiban	正式版
ahengshou	征收
ahengshu	证书
ahengshui	征税
ahengsi	生死
ahengtai	生态,正太
ahengti	整体
ahengtian	整天
ahengui	珍贵
ahenguide	珍贵的
ahengwang	声望
ahengwen	正文,升温
ahengwu	生物,政务
ahengwuxue	生物学
ahengxia	剩下
ahengxiade	剩下的
ahengxiang	争相,声响
ahengxiao	生效
ahengxie	政协
ahengxing	盛行,整形
ahengya	生涯
ahengyao	正要
ahengyi	生意,争议,正义
ahengyin	声音
ahengyu	剩余,生育,生于,声誉
ahengzai	正在,生在
ahengzha	挣扎
ahengzhang	生长
ahengzheng	整整
ahengzhengfu	省政府
ahengzhi	政治,整治,争执,升值,正值
ahengzhibu	政治部
ahengzhong	郑重
ahengzhou	郑州
ahengzhoushi	郑州市
ahengzhu	生猪
ahengzhuang	症状
ahengzong	正宗
ahenhan	震撼
ahenhao	真好
ahenhe	审核
ahenhehou	审核后
ahenhou	身后,深厚
ahenhoude	深厚的
ahenhua	神话
ahenji	审计
ahenjiagong	深加工
ahenjing	神经,震惊
ahenke	深刻
ahenkede	深刻的
ahenkong	真空
ahenli	真理,审理
ahenliao	诊疗
ahenling	申领
ahenme	什么
ahenmede	什么的
ahenmei	审美
ahenmene	什么呢
ahenmeren	什么人
ahenmeshi	什么是,什么事
ahenmeye	什么也
ahenmi	神秘
ahenming	申明
ahenpan	审判
ahenpang	身旁
ahenpi	审批,真皮
ahenqi	神奇,真气
ahenqing	申请,神情,真情,深情
ahenqingbiao	申请表
ahenqingren	申请人
ahenqingshu	申请书
ahenqingzhe	申请者
ahenqu	身躯
ahenren	真人
ahenrong	阵容
ahenru	深入
ahenrude	深入的
ahense	神色
ahenshang	身上
ahenshen	深深
ahenshende	深深的,深深地
ahensheng	神圣
ahenshi	真是,审视
ahenshide	真实的
ahenshixing	真实性
ahenshou	深受,伸手
ahensu	申诉
ahensuo	诊所
ahenti	身体
ahenting	阿根廷
ahentou	渗透,枕头
ahenwei	身为
ahenxi	珍惜
ahenxian	神仙
ahenxiang	真相
ahenxin	身心,真心
ahenxing	振兴,身形
ahenyang	沈阳
ahenyangshi	沈阳市
ahenye	深夜
ahenyi	审议
ahenying	身影
ahenyou	真有
ahenyuan	深远
ahenzang	肾脏
ahenzhen	深圳,阵阵
ahenzheng	真正
ahenzhenshi	深圳市
ahenzhi	甚至,针织,诊治
ahenzhilian	甚至连
ahenzhiyou	甚至有
ahenzhizai	甚至在
ahenzhong	慎重
ahenzhou	神州
ahenzhu	珍珠
ahenzi	身子
ahepian	这篇,这片
aheqizhong	这其中
ahequ	社区,设区
aherang	这让
aheren	这人
aheru	摄入
ahesange	这三个
aheshi	这是,设施,这时,这事
aheshige	这是个
aheshihou	这时候
aheshou	这首
aheshouge	这首歌
aheshuoming	这说明
ahetao	这套
ahetian	这天
ahetiao	这条
ahetou	舌头
ahetuan	社团
ahewai	涉外
ahewei	这位,设为
ahexia	这下
ahexian	涉嫌
ahexiang	这项,设想,摄像
ahexiangji	摄像机
ahexiangtou	摄像头
ahexie	这些
ahexiedou	这些都
ahexieren	这些人
ahexue	哲学
aheyang	这样
aheyangjiu	这样就
aheyangshuo	这样说
aheyangzuo	这样做
aheyeshi	这也是
aheyi	这一
aheyici	这一次
aheyidian	这一点
aheying	摄影
aheyingshi	摄影师
aheyiqie	这一切
aheyitian	这一天
aheyou	设有
aheyu	这与
ahezai	设在,这在
ahezhang	这张
ahezhengshi	这正是
ahezhi	设置,这只,这支
ahezhiwei	设置为
ahezhong	这种
ahezuo	这座
ahg	昂
ahggui	昂贵
ahguiding	按规定
ahhui	安徽
ahhuisheng	安徽省
ahi	是,时,只,事,知,实
ahiai	是爱
ahian	治安,是按
ahibai	失败
ahibaide	失败的
ahiban	值班
ahibei	是被,制备,植被
ahibi	势必,纸币
ahibiao	指标
ahibiaode	指标的
ahibie	识别
ahibing	士兵,治病
ahibo	直播
ahibu	是不
ahibuguo	只不过
ahibushi	是不是
ahicai	食材,石材
ahicha	视察
ahichang	市场,时常,职场,时长
ahichangbu	市场部
ahichanghua	市场化
ahichangjia	市场价
ahicheng	支撑,职称,制成
ahichengde	制成的
ahichi	支持
ahichidu	支持度
ahichini	支持你
ahichixia	支持下
ahichu	指出,支出
ahici	至此,诗词
ahicong	是从
ahida	十大,之大,直达
ahidai	时代
ahidang	适当
ahidangde	适当的
ahidao	知道,指导,直到,之道
ahidaole	知道了
ahidaoni	知道你
ahidaoxia	指导下
ahide	值得,指的,是的,似的,使得,只得
ahideshi	指的是
ahidi	是滴,质地,实地,湿地
ahidian	试点,指点
ahiding	指定,制订,制定,置顶
ahidingde	指定的,制订的,制定的
ahidong	制动
ahidu	制度,适度,湿度
ahiduan	时段
ahiduhua	制度化
ahidui	是对,支队,只对
ahiduo	之多
ahiduome	是多么
ahiduoshao	是多少
ahier	之二
ahieryue	十二月
ahifa	执法,之法
ahifan	示范,师范
ahifang	脂肪,释放
ahifazhan	始发站
ahifei	是非,施肥
ahifeichang	是非常
ahifen	十分
ahifou	是否
ahifouhui	是否会
ahifouneng	是否能
ahifu	支付,致富,制服
ahifubao	支付宝
ahigai	是该
ahigan	质感,之感
ahigao	石膏,是高
ahige	是个,诗歌,十个
ahigei	是给
ahigong	职工,施工
ahigu	事故
ahiguan	直观
ahiguang	时光
ahiguonei	是国内
ahihang	支行
ahihao	只好,是好
ahihe	适合,是和
ahihen	是很
ahiheyu	适合于
ahihou	时候,之后,事后,滞后
ahihua	实话
ahihuan	置换
ahihui	只会,智慧,指挥,实惠,是会
ahihuibu	指挥部
ahihuide	智慧的
ahihuiguan	指挥官
ahiji	实际,世纪,时机,十几,事迹
ahijia	指甲,支架,施加,试驾,十佳
ahijiade	是假的
ahijian	时间,之间,事件,实践,只见,世间
ahijiande	时间的,实践的
ahijiang	是将
ahijianli	时间里
ahijiannei	时间内
ahijianwei	时间为
ahijianyu	始建于
ahijianzhong	实践中
ahijiao	视角
ahijiazhuang	石家庄
ahijie	直接,世界,时节
ahijiebei	世界杯
ahijieguan	世界观
ahijieli	世界里
ahijieshang	世界上
ahijige	十几个
ahijin	至今,使劲
ahijing	直径
ahijinian	十几年
ahijishang	实际上
ahijiu	之久,十九
ahijiyu	是基于
ahijuan	试卷
ahijue	视觉,直觉
ahikan	试看
ahikao	是靠
ahike	时刻
ahikeyi	是可以
ahikong	时空
ahilai	是来
ahilei	之类
ahileng	制冷
ahili	实力,治理,实例,智力,势力,示例
ahiliang	质量,适量
ahiliao	治疗
ahilihua	实例化
ahiling	指令
ahiliu	十六,石榴,直流
ahiliuda	十六大
ahiliujie	十六届
ahiliyu	致力于
ahilu	之路
ahiluo	失落
ahilv	之旅
ahima	是吗
ahimei	是没,之美
ahimen	之门
ahimian	失眠
ahimianshang	市面上
ahimin	市民
ahiming	知名,使命,指明,实名
ahimingde	知名的
ahimingdu	知名度
